et	de	en	lt	lv
Professionaalne suhtumine	Professionelles Verhalten	Professional Attitude	Profesinė elgsena	Profesionāla attieksme
sõuvõll	Propellerwelle	propellor shaft	kardaninis velenas	Kardānvārpsta
Anna klientidele selgitusi.	Liefern Sie dem Kunden Erklärungen.	Provide explanation to customers.	Pateikite klientams paaiškinimą.	Sniegt paskaidrojumus klientiem.
Q1 - V8 Põhiteave perioodilise hoolduse kohta	Q1 - V8 Grundkenntnisse der regelmäßigen Wartung	Q1 - V8 Basic Knowledge of Periodic Maintenance	Q1–V8 Periodinės techninės priežiūros bazinės žinios	1. jaut. - V8 Pamatzināšanas par periodisko apkopi
Q2 - V10 Perioodiline hooldus 2	Q2 - V10 Regelmäßige Wartung 2	Q2 - V10 Periodic Maintenance 2	Q2–V10 2 periodinė techninė priežiūra	2. jaut. - V10 Periodiskā apkope 2
Kv2 – V3 põhilised hooldustoimingud	Q2 - V3 Grundlegende Servicedienste	Q2 - V3 Basic Service Operations	Q2  – V3 bazinės techninės priežiūros operacijos	2. jaut. - V3 Apkopes pamatdarbības
Q4 - V8 Põhilised teadmised perioodilisest hooldusest	Q4 - V8 Grundkenntnisse der regelmäßigen Wartung	Q4 - V8 Basic Knowledge of Periodic Maintenance	Q4–V8 Periodinės techninės priežiūros bazinės žinios	4. jaut. - V8 Pamatzināšanas par periodisko apkopi
Radiaatori kaas	Kühlerverschlussdeckel	Radiator cap	Radiatoriaus dangtelis	Radiatora vāciņš
Radiaator on seest ummistunud	Kühlerblock verstopft	Radiator core becomes clogged	Radiatoriaus šerdis užsikimšo	Aizsērē radiatora serdeņi
Padrunvõti	Ratschenstopper	Ratcher stopper	Reketinis stabdiklis	Sprūdrata aizturis
Padrunvõtme mehhanism 2.	Ratschenmechanismus 2.	Ratchet mechanism 2.	Reketo mechanizmas 2.	Sprūdmehānisms 2.
Mõõtmisväärtuse lugemine. Joonise näidises näitab numbrinäit 8-sammulist liikumist.	Lesen des Messwertes Im Beispiel der Animation zeigt die Skala eine Bewegung von 8 Steigerungen.	Reading measurement value In the example of the animation the dial shows a movement of 8 increments.	Matavimo rodmenų reikšmė Animacijos pavyzdyje ciferblatas rodo 8 padalų judėjimą.	Mērījuma vērtības nolasīšana Animācijas piemērā ciparnīca uzrāda kustību par 8 soļiem.
"Kuni 0,5 mm väärtuse lugemine (A) Lugege suurim hülsi skaalal nähtav väärtus."	"Lesewert bis 0,5 mm (A) Lesen Sie den höchsten Wert ab, der an der Skala der Muffe zu sehen ist."	"Reading value to 0.5mm (A) Read the largest value, which is visible on the scale of the sleeve."	"Rodmenų reikšmė iki 0,5 mm (A) Pažiūrėkite, kokia matoma didžiausia movos skalės reikšmė."	"Vērtības nolasīšana līdz 0,5mm (A) Nolasiet vislielāko rādījumu, kas ir redzams uz uzmavas skalas."
"Näidu väärtus 1,0 mm (a) Lugege peamist mõõteskaalat, mis asub nooniuse „nullist” vasakul."	"Werte bis 1,0 mm ablesen (A) Lesen Sie die Haupt-Messskala links des Messschiebers „Null“ ab."	"Reading value to 1.0mm (A) Read the main measuring scale, positioned to the left of the vernier 'zero'."	"Rodmenų reikšmė iki 1,0 mm (A) Skaitykite pagrindinę matavimo skalę, esančią į kairę nuo slankmačio nulio."	"Vērtības nolasīšana līdz 1,0 mm (A) Nolasa galveno mērīšanas skalas rādījumu, kas atrodas pa kreisi bīdmēra ""nulle""."
Vähenenud pidurdusjõudlus / suur müra	Verringerte Bremsleistung / sehr laut	Reduced braking performance / very noisy	Suprastėjęs stabdymo efektyvumas / didelis triukšmas	Pazemināta bremzēšanas efektivitāte / troksnis
Tõstuki  5. asendi toimingute arvu vähendamine.	Reduktion der Anzahl der Hebevorgänge 5.	Reducing the number of lift operations 5.	Kaip sumažinti keltuvo operacijų skaičių 5.	Samazinot celšanas darbību skaitu 5.
Hoolduse tegemisel järgige riigikohaseid eeskirju.	"Halten Sie sich immer an den landesspezifischen Wartungsplan, wenn Sie eine Wartung durchführen."	Refer to the country specific maintenance schedule whenever carrying out maintenance.	"Kaskart atlikdami techninę priežiūrą, atsižvelkite į jūsų šaliai sudarytą techninės priežiūros tvarkaraštį."	"Ikreiz, kad veicat apkopi, izskatiet uz konkrēto valsti attiecināmo apkopes grafiku."
Ülevaatuse intervalli suhtes juhinduge hooldusgraafikust. 1.	Halten Sie sich bezüglich des Zeitabstands der Wartung an den Wartungsplan. 1.	Refer to the maintenance schedule for the inspection interval. 1.	Patikros intervalo ieškokite techninės priežiūros tvarkaraštyje. 1.	"Lai noteiktu pareizo pārbaudes intervālu, meklējiet informāciju apkopes grafikā. 1."
Vaadake vastava mudeli hooldusgraafikut asendusintervalli kohta.	Halten Sie sich wegen des Zeitabstands des Austauschs an den Wartungsplan des jeweiligen Modells.	Refer to the maintenance schedule of the respective model for the replacement interval.	"Norėdami sužinoti keitimo intervalą, žr. atitinkamo modelio techninės priežiūros tvarkaraštį."	"Lai noteiktu nomaiņas intervālu, meklējiet informāciju attiecīgā modeļa apkopes grafikā."
Vt vahetusvälba kohta vastava mudeli hoolduskavas.	"Halten Sie sich an den Wartungsplan des jeweiligen Modells, um den Zeitabstand des Austauschs zu bestimmen."	Refer to the maintenance schedule of the respective model to determine the replacement interval.	"Norėdami sužinoti keitimo intervalą, žr. atitinkamo modelio techninės priežiūros tvarkaraštį."	"Lai noteiktu nomaiņas intervālu, meklējiet informāciju attiecīgā modeļa apkopes grafikā."
Vaadake vastava sõiduki hooldusgraafikut radiaatori kaane hoolduse kontrollimiseks.	Halten Sie sich für die Service-Inspektion des Kühlerverschlussdeckels an den Wartungsplan des jeweiligen Fahrzeugs.	Refer to the maintenance schedule of the respective vehicle for the radiator cap service inspection.	Dėl radiatoriaus dangtelio techninės priežiūros patikros žr. atitinkamos transporto priemonės techninės priežiūros tvarkaraštį.	Informāciju par radiatora vāciņa darbības pārbaudi var atrast attiecīgā transportlīdzekļa apkopes grafikā.
Teavet õli õige koguse ja kvaliteedi kohta leiate kasutusjuhendist.	Halten Sie sich bei der Menge und Beschaffenheit des Öls an das Handbuch des Besitzers.	Refer to the Owner's manual for the correct oil quantity and oil quality.	Savininko instrukcijoje nurodytas teisingas alyvos kiekis ir tipas.	"Lai noteiktu pareizo eļļas daudzumu un eļļas kvalitāti, meklējiet informāciju Īpašnieka rokasgrāmatā."
Määratud rehvirõhkude kohta lugege sõidukiomaniku käsiraamatut.	Halten Sie sich für den vorgeschriebenen Reifendruck an das Handbuch des Besitzers.	Refer to the Owner's Manual for the prescribed tire pressures.	Informacijos apie nurodytus padangų slėgius žr. savininko instrukcijoje.	"Lai noteiktu vajadzīgo spiedienu riepās, meklējiet informāciju Īpašnieka rokasgrāmatā."
"Töö peab vaatamata kulule olema tehtud edasimüüja töökojas, isegi kui selle seda saaks mujal teha odavamalt."	"Ungeachtet der Kosten muss ein Auftrag in der Werkstatt des Händlers ausgeführt werden, auch wenn günstigeres Outsourcing möglich wäre."	"Regardless of cost, a job must be done at the dealer’s workshop, even when it can be outsourced for less elsewhere."	"Neatsižvelgiant į kainą, darbas turi būti atliktas platintojo dirbtuvėse, net jei tą patį darbą už mažesnę gali atlikti kiti meistrai."	"Neatkarīgi no izmaksām darbs jāveic dīlera darbnīcā, pat ja citur to var veikt lētāk, izmantojot ārpakalpojumus."
Tavapärane ATF-i taseme kontroll peaks seda tõestama.	Regelmäßige Inspektionen des ATF-Niveaus sollten das zeigen.	Regular inspection of the ATF level should prove this.	Tai turėtų patvirtinti reguliarus automatinės transmisijos alyvos lygmens stebėjimas.	"Par to vajadzētu pārliecināties, veicot ATF līmeņa regulāru pārbaudi."
Kaitseklapp	Entlastungsventil	Relief valve	Apsauginis vožtuvas	Pārplūdes vārsts
Eemaldamine otse lüües.	Entfernen durch direkten Aufprall.	Removal by striking directly.	Nuėmimas suduodant tiesiogiai.	"Noņem, tieši uzsitot."
Eemaldage ja asendage tihvtid	Entfernen und Austauschen von Stiftschrauben	Remove and Replace Studs	Nuimti ir pakeisti suveržimo varžtus	Tapskrūvju noņemšana un nomaiņa
"Asendage mootori jahutusvedelik vastavalt sõidetud kilometraažile või ajaperioodile, kuna rikete taset on välisel vaatlusel raske kindlaks teha."	"Tauschen Sie das Motor-Kühlmittel entsprechend dem Kilometerstand oder der verstrichenen Zeitspanne aus, denn es ist schwierig, das Level der Verschlechterung anhand einer visuellen Inspektion abzuschätzen."	Replace the engine coolant according to the mileage or amount of time elapsed because it is difficult to judge the level of deterioration by visual checks.	"Variklio aušinimo skystį keiskite pagal kilometražą ar praėjusį laiką, kadangi vizualiai sunku įvertinti nusidėvėjimo lygį."	"Nomainiet dzinēja dzesēšanas šķidrumu atbilstoši nobraukumam vai aizritējušā laikam posmam, jo ir grūti noteikt nolietošanās līmeni, veicot tikai vizuālu apskati."
Vahetage mootoriõli filter vastavalt kilometraažile või möödunud ajale.	Wechseln Sie den Motorölfilter je nach Kilometerstand oder nach verstrichener Zeit.	Replace the engine oil filter according to the mileage or amount of time elapsed.	Variklio alyvos filtrą keiskite atsižvelgdami į kilometražą ar praėjusį laiką.	Nomainiet dzinēja eļļas filtru atbilstoši nobraukumam vai aizritējušā laika apjomam.
"Rehvi vahetamine on kohustuslik, kui kulumise näidik süttib."	"Der Austausch des Reifen ist obligatorisch, wenn die Verschleiß-Anzeige erscheint."	Replacement of the tire is mandatory when the wear indicator appears.	"Pasirodžius nusidėvėjimo indikatoriui, padangą pakeisti yra privaloma."	"Ja ir redzams nodiluma indikators, riepas nomaiņa ir obligāta."
Asendus: kütuse drenaaž kütusefiltrist	Austausch: Kraftstoff aus dem Kraftstofffilter ablassen.	Replacement: Drain fuel from the fuel filter.	Pakeitimas: Išleiskite degalus iš degalų filtro.	Nomaiņa: Izteciniet degvielu no degvielas filtra.
"nõuab suurt tööruumi, kuid pakub kiireimat töökiirust."	"benötigt einen großen Arbeitsbereich, aber bietet schnellste Arbeitsgeschwindigkeit."	requires a large work space but offers the fastest operating speed.	"reikia didelės darbo erdvės, tačiau užtikrina didžiausią veikimo greitį."	"vajadzīga plaša darba telpa, bet tas nodrošina vislielāko darba ātrumu."
"Algpositsiooni saavutamiseks pöörake regulaatorit vastassuunas sama arv sälke, nagu see oli teises suunas pööratud."	"Drehen Sie den Einsteller um dieselbe Anzahl von Einkerbungen in die Gegenrichtung, um die er vorwärtsbewegt wurde, um ihn in die Ausgangsposition zurückzubringen."	"Revolve the adjuster in the opposite direction the same number of notches that it moved forward, in order to return to the original position."	"Pasukite derintuvą priešinga kryptimi per tiek pat pakopų, kiek buvo pasuktas pirmyn, kad grąžintumėte į pradinę padėtį."	"Pagrieziet regulētāju pretējā virzienā par tik pat robiem, par cik tas pagriezts uz priekšu, lai atgrieztos sākotnējā pozīcijā."
Parem nurk	Rechter Winkel	Right angle	Tinkamas kampas	Taisns leņķis
Pöörlemise järjekord	Rotationsreihenfolge	Rotation Order	Sukimo tvarka	Darbu veikšanas kārtība
"Raske tühikäik, ventiilid ei sulgu korralikult"	"Unruhiger Stillstand, Ventile schließen nicht richtig"	"Rough idle, valves don’t close properly"	"Netolygi tuščioji eiga, blogai užsidaro vožtuvai"	"Nevienmērīga tukšgaita, vārsti pienācīgi neaizveras"
Käivitage mootor ja pöörake rooli ühest lukustusasendist teise et vedelik üles soojendada.	"Lassen Sie den Motor laufen und drehen Sie das Lenkrad von Blockiert zu Mehrmals Blockiert, um die Flüssigkeit zu erwärmen."	Run the engine and turn the steering wheel from lock to lock several times to warm up the fluid.	"Užveskite variklį ir keletą kartų pasukiokite  vairą iki galo į abi puses, kad sušildytumėte skystį."	"Lai iesildītu šķidrumu, iedarbiniet dzinēju un pagrieziet stūri no vienas galējās pozīcijas līdz otrai vairākas reizes."
Roostetamise ärahoidmine	Rostprävention	Rust prevention	Apsauga nuo rūdžių	Rūsas novēršana
Ohutus töökojas	Sicherheit in der Werkstatt	Safety in the Workshop	Sauga dirbtuvėse	Drošība darbnīcā
Skaala 8:	Skala 8.	Scale 8.	Skalė 8.	Skala 8.
Pitseerimine	Dichtung	Sealing	Sandarinimas	Hermetizēšana
Istmed (iga ukse asendi juures)	Sitze (in jeder Türposition)	Seats (at each door position)	Sėdynės (kiekvienoje durelių padėtyje)	Sēdekļi (katrā durvju pozīcijā)
Kiigelauatüüp:	Typ Wippe:	Seesaw type:	Svyravimo tipas:	Svārstveida:
Iseseisev õpe – tõsteasend 3	Selbststudium - Hebeposition 3	Self Study - Lift Position 3	Savarankiškas mokymasis – 3 keltuvo padėtis	Pašmācība - Celšanas pozīcija 3
Iseseisev õpe 2	Selbststudium 2	Self Study 2	Savarankiškas mokymasis 2	Pašmācība 2
Kutseoskuse eksamiks valmistumisel saate kasutada ka iseõppijale mõeldud  õppematerjali.	"Um sich auf die Zertifizierungsprüfung vorzubereiten, können Sie Material Ihres Selbststudiums verwenden."	Self study materials can also be used to prepare yourself for the certification examinations.	"Be to, savarankiško mokymosi medžiagą galima naudoti sertifikavimo egzaminams ruoštis."	"Pašmācības materiālus var arī izmantot, lai sagatavotos sertifikācijas eksāmeniem."
Teeninduskonsultant informeerib klienti	Der Serviceberater informiert den Kunden	Service advisor informs the customer	Techninės priežiūros patarėjas informuoja klientą	Apkopes konsultants informē klientu
Hooldusvälbad	Wartungsintervalle	Service Intervals	Techninės priežiūros intervalai	Apkopes intervāli
"Hooldusvälbad on välja töötatud, et kindlustada sõidukite hooldus korrapäraste aja- või läbitud vahemaa intervallide järel."	"Die Wartungsintervalle wurden entwickelt, um sicherzustellen, dass die Fahrzeuge nach einem regelmäßigen zeit- oder streckenbasierten Intervall gewartet werden. "	Service intervals have been developed to ensure that vehicles are serviced at a regular time or distance based interval.	"Techninės priežiūros intervalai sukurti užtikrinti, kad transporto priemonių techninė priežiūra butų atliekama reguliariais laiku ar atstumu pagrįstais intervalais."	"Ir izstrādāti apkopes intervāli, lai nodrošinātu to, ka transportlīdzekļu apkope tiek veikta regulāros laika vai nobraukuma intervālos."
Hooldusvälbad:	Wartungsintervalle:	Service Intervals:	Techninės priežiūros intervalai:	Apkopes intervāli:
Mitmeid kereosi tuleb kontrollida pöörlemise ajal.	Mehrere Teile der Karosserie müssen während der Rotation inspiziert werden.	Several body parts need to be inspected during the rotation.	Besisukant reikia apžiūrėti kelias korpuso dalis.	Darbu veikšanas kārtības laikā jāpārbauda vairākas virsbūves daļas.
Tõsine	Schwerwiegend	Severe	Stiprus	Smags
Vedrustushoovastiku raputamine kätega.	Schütteln einer Kopplung zur Aufhängung per Hand.	Shaking a suspension linkage by hand.	Pakabos trauklės klibinimas rankomis.	Pakratot piekari ar roku.
Amortisaatorite kahjustus. Kontrollige mõlke amortisaatoritel.	Schäden am Stoßdämpfer Prüfen Sie uf Beulen an den Stoßdämpfern.	Shock absorber damage Check for dents on the shock absorbers.	"Amortizatorių gedimas Patikrinkite, ar nėra amortizatorių įlenkimų."	"Amortizatoru bojājums Pārbaudiet, vai uz amortizatoriem nav iespiedumu."
Lühike kangi käik	Kurzer Hebel-Weg	Short lever stroke	Trumpas svirties taktas	Īss sviras gājiens
"Üheotsaline pirn, üks või kaks hõõgniiti."	"Einendige Birne, einfacher oder doppelter Glühfaden"	"Single-end bulb, single or double filament"	"Vieno kontakto lemputė, viengubas ar dvigubas siūlelis"	"Viencokola spuldze, viens vai divi kvēldiegi"
"Õoli kindla temperatuurivahemiku jaoks, viskoossus 10W -20°C juures"	Einzelbereichsöl mit einer Viskosität von 10W bei -20 °C	Single-grade oil with a viscosity of 10W at -20°C	"Vienos paskirties alyva, kurios klampumas yra 10W, esant -20°C temperatūrai"	Vienas kategorijas eļļa ar viskozitāti 10W pie -20°C
Sokli suurus	Größe des Steckers	Size of socket	Lizdo dydis	Uzmavas izmērs
Muhv	Muffe	Sleeve	Mova	Uzmava
Kombineeritud tangid	Zange für Steckverbindungen	Slip-Joint Pliers	Kombinuotos replės	Regulējamās knaibles
Veorihma libisemine võib põhjustada mootori ülekuumenemist .	Schlupf des Antriebsriemens kann zu Überhitzen des Motors führen.	Slippage of the drive belt may cause the engine to overheat.	Dėl pavaros diržo praslydimo gali perkaisti variklis.	Piedziņas siksnas izslīde var izraisīt dzinēja pārkaršanu.
"Professionaalset tööd näitab ka see, et: kliendi sõidukis ei suitsetata, ei kasutata kliendi audioseadmeid ega sõiduki telefoni,  varuosade karpe ja juhendeid ei panda sõiduki peale."	Andere Beispiele für professionelles Auftreten sind: im Fahrzeug des Kunden nicht zu rauchen. die Audiogeräte oder das Autotelefon des Kunden nicht zu verwenden. Ersatzteilkisten oder Handbücher nicht auf dem Auto abzulegen.	Some other examples of professional attitude are: not smoking in customer’s vehicle. not using the customer’s audio equipment or car telephone. not putting parts boxes or manuals on top of the car.	Dar keli profesionalaus požiūrio pavyzdžiai: vengiama rūkyti klientų automobiliuose. nesinaudojama kliento garso įranga ar automobilio telefonu. detalių pakuotės ir naudojimosi vadovai nededami ant automobilio stogo.	Daži citi profesionālas attieksmes piemēri ir šādi: netiek smēķēts klienta transportlīdzeklī; netiek izmantots klienta audioaprīkojums vai automobiļa tālrunis; detaļu kastītes vai rokasgrāmatas netiek liktas uz automobiļa.
Varurehv	Ersatzreifen	Spare tire	Atsarginė padanga	Rezerves ritenis
Süüteküünal	Zündkerze	Spark plug	Uždegimo žvakė	Aizdedzes svece
Süüteküünlad tuleb sisse keerata käega ja pingutada ettenähtud momendiga.	Die Zündkerzen sollten von Hand eingedreht werden und müssen mit einem speziellen Drehmoment festgesetzt werden.	Spark plugs should be screwed in by hand and must be tightened to a specified torque.	Uždegimo žvakes reikia įsukti ranka ir užveržti taikant nurodytą sukimo momentą.	Aizdedzes sveces jāieskrūvē ar rokām un jāpievelk ar noteiktu momentu.
Spetsifikatsioonid	Spezifikationen	Specifications	Specifikacijos	Specifikācijas
Käivitage mootor ning laske sellel töötada aeglasel tühikäigul. PCV-kontrolisüsteem hõlmab kahte järgmist toimingut :  1.	Starten Sie den Motor und lassen Sie den Motor im Stillstand laufen Die PCV-System-Überprüfung umfasst die folgenden zwei Aspekte: 1.	Start the engine and run the engine at idle The PCV System Check involves the following two items: 1.	Užveskite variklį ir leiskite jam dirbti tuščiąja eiga. PCV sistemos apžiūrai reikalingos šios dvi priemonės: 1.	Iedarbiniet dzinēju un darbiniet to tukšgaitā Attiecībā uz PCV sistēmu jāpārbauda šādi divi elementi: 1.
Roolimine	Lenkung	Steering	Vairavimas	Stūres mehānisms
"Roolisüsteem Määrde vahetamine mõnedel kommertssõidukitel Määrde omadused kasutamisel halvenevad, sest sellele mõjub kuumus ning kokkupuude vee ja tolmuga."	"Lenkung Wechsel von Schmierfett bei einigen kommerziellen Fahrzeugen Schmierfett verschlechtert sich mit dem Gebrauch, weil es Hitze ausgesetzt ist oder Wasser bzw. Staub hineingelangen."	"Steering Grease change on some commercial vehicles Grease deteriorates with use, as it is exposed to heat, or through the entry of water or dust."	"Vairavimas – Tam tikrų transporto priemonių tepalų keitimas – Naudojamas tepalas genda, nes jį veikia šiluma, vanduo arba dulkės."	"Stūres mehānisms Smērvielas nomaiņa dažiem komerciālajiem transportlīdzekļiem Smērvielas kvalitāte lietošanas laikā pazeminās, jo tā ir pakļauta karstumam vai tajā iekļūst ūdens vai putekļi."
Käänmik	Achsschenkel	Steering knuckle	Pasukamasis kakliukas	Pagriezes rēdze
"Rool, ülekanne ja käigukastiõli"	"Lenkrad, Gestände und Lenkgehäuse-Öl."	"Steering wheel, linkage and steering gear box oil"	"Vairas, trauklės ir vairo mechanizmo karterio alyva"	"Stūre, savienojums un stūres mehānisma eļļa"
Aste 1. 	Schritt 1.	Step 1.	1. veiksmas	1. posms.
Sealjuures peab nende tööriistade kasutamisel vigastuste vältimiseks ja töö tõhususe parandamiseks järgima kehtestatud ettevaatusabinõusid.	"Dennoch werden Verletzungen vermieden und die Effizienz gesteigert, wenn die beschriebenen Vorsicthsmaßnahmen bezüglich dieser Werkzeuge eingehalten werden."	"Still, taking into account the stated precautions concerning these tools will avoid injuries and improve efficiency."	"Laikydamiesi šiems įrankiams taikomų nurodytų atsargumo priemonių, išvengsite sužeidimų ir padidinsite efektyvumą."	"Tomēr, ja ņem vērā noteiktos piesardzības pasākumus saistībā ar šiem instrumentiem, ir iespējams izvairīties no ievainojumiem un uzlabot darba efektivitāti."
Stoppkruvi	Anschlagschraube	Stop screw	Ribojimo varžtas	Skrūve
"Pingutuspoldid on valmistatud ülitugevast plastikust, mis peavad vastu sellisele jõule, mis tavaliselt standardse poldi purustaks."	"Dehnschrauben bestehen aus höchst dehnbarem Plastik und halten Kräften stand, die eine herkömmliche Schraube zerbrechen würden."	Stretch bolts are made of high-strength plastic capable of forces that would normally break a standard bolt.	"Elastingi varžtai yra gaminami iš didelio atsparumo plastiko, pakeliančio apkrovas, kurios suskaldytų įprastinius varžtus.."	"Stiepes skrūves ir izgatavotas no īpaši izturīga plastikāta, kas spēj izturēt spēku, pie kura standarta skrūve parasti salūztu."
Pingutuspoldid on pingutatud standardsete poltide protseduuri järgi.	Dehnschrauben werden entsprechend der Befestigungsweise von Standard-Schrauben angezogen.	Stretch bolts are tightened following the tightening procedure of standard bolts.	Elastingi varžtai priveržiami pagal standartinių varžtų priveržimo procedūrą.	"Stiepes skrūves pievelk, ievērojot standarta skrūvju piegriešanas procedūru."
Lööge kergelt polte.	Drücken Sie die Schrauben leicht.	Strike bolts lightly.	Kalkite varžtus po truputį.	Viegli uzsit pa skrūvēm.
Käik võib muutuda ebapiisavaks	Der Hub kann ineffizient werden.	Stroke can become insufficient	Taktas gali tapti nepakankamas	Gājiens var kļūt nepietiekams
"Tehnikuid premeeritakse suurenenud kliendirahulolu korral, mis toob tehnikutele kaasa suurema rahulduse tööst."	"Techniker werden für erhöhte Kundenzufriedenheit belohnt, was zu höherer Zufriedenheit mit dem Arbeitsplatz seitens der Techniker führt."	Technicians are rewarded for increased customer satisfaction which leads to better job satisfaction for technicians.	"Technikams atsilyginama už didesnį klientų pasitenkinimą, o tai didina technikų pasitenkinimą darbu."	"Tehniķi tiek atalgoti par klientu apmierinātības līmeņa paaugstināšanu, un tādējādi paaugstinās tehniķu apmierinātība ar savu darbu."
Katke ketas ajutiselt mutripesaga.	Sichern Sie die Scheibe vorübergehend mit Nabenmuttern.	Temporarily secure the disc with hub nuts.	Laikinai diską užfiksuokite stebulės veržlėmis.	Īslaicīgi nostipriniet disku ar rumbas uzgriežņiem.
Kontrollhaamer	Prüfhammer:	Test hammer	Tikrinimo plaktukas	Testa āmurs
Kontrollhaamer	Prüfhammer	Test Hammer	Tikrinimo plaktukas	Testa āmurs
Tellitav võti ei sobi suure pingutusmomendi rakendamiseks!	Der Rollgabelschlüssel eignet sich nicht zur Verwendung eines großen Drehmoments.	The adjustable wrench is not suitable for applying a large torque!	Skečiamojo rakto negalima naudoti esant dideliam sukimo momentui!	Regulējamā uzgriežņu atslēga nav atbilstoša liela pievilkšanas spēka pielikšanai!
Edukalt toimiva hoolduspiirkonna eelised on järgmised: Hea suhe klientidega.	Die Vorteile eines erfolgreich arbeitenden Servicebereichs sind: Eine gute Beziehung zu den Kunden.	The advantages of a successfully-operating service area are: A good relationship with the customers.	Sėkmingo techninės priežiūros paslaugų teikimo pranašumai: geri santykiai su klientais.	"Priekšrocības, ko sniedz veiksmīga darbība apkopes jomā, ir šādas: Labas attiecības ar klientiem."
Õhuklapp laseb õhku sisse.	Das Luft-Ventil lässt Luft ein.	The air valve is letting air in.	Oro vožtuvas praleidžia į vidų orą.	Gaisa vārsts ļauj ieplūst gaisam.
Antifriis halveneb	Das Frostschutzmittel wird schlecht	The antifreeze deteriorates	Antifrizas genda	Pasliktinās antifrīza kvalitāte
"Töökoja välisilme ei ole oluline, kui tööd tehtakse nii, nagu ette nähtud."	"Das Erscheinungsbild der Werkstatt ist nicht wichtig, solange die Arbeiten korrekt ausgeführt werden."	The appearance of the workshop is not important as long as the work performed is done correctly.	"Kaip atrodo dirbtuvė nesvarbu, kol darbas atliekamas tinkamai."	"Darbnīcas izskatam nav nozīmes, kamēr vien darbs tiek veikts precīzi."
"Jõu rakendamine, mis on väiksem kui elastsuse piir, toob kaasa elastse deformatsiooni."	"Die Einwirkung einer Kraft, die kleiner als die Elastizitätsgrenze ist, führt zu elastischen Deformationen."	The application of a force that is smaller than the elasticity limit results in elastic deformation.	"Taikant jėgą, mažesnę už elastingumo ribą, gali sukelti elastinę deformaciją."	"Ja pieliek spēku, kas ir mazāks nekā elastīguma robeža, rodas elastīgā deformācija."
Kuulhaamril on rauast pea.	Der Kopf des Kugelhammers ist aus Eisen.	The ball peen hammer has an iron head.	Plaktukas yra apvalia geležine galvute.	Lodes-ķīļa āmuram ir dzelzs galva.
Rihm rebeneb	Der Riemen reißt	The belt tears	Diržo įtrūkimai	Siksna pārplīst
Tera ots karastati metallikarastusega.	Die Blattspitze ist durch Tempern verhärtet.	The blade tip has been hardened by tempering.	Geležtės galiukas sutvirtintas grūdinant.	"Asmens gals ir cietināts, izmantojot rūdīšanu."
Pidurivoolikuid tuleb kontrollida regulaarselt.	Der Bremsschlauch muss regelmäßig überprüft werden.	The brake hoses must be checked periodically.	Stabdžių žarneles privaloma tikrinti periodiškai.	Bremžu šļūtenes ir jāpārbauda regulāri.
Kanister võib olla katki	Der Kanister könnte kaputt sein	The canister could be broken	Filtras gali būti sulūžęs	Filtrs var būt bojāts
Autotõstuk võimaldab tehnikul töötada mugavas asendis sõiduki kõrval või all.	"Die Hebebühne ermöglicht es dem Techniker, in einer bequemen Position neben oder unter dem Fahrzeug zu arbeiten."	The car lift enables the technician to work in a comfortable posture under or next to the vehicle.	Automobilio keltuvas padeda technikui patogiai dirbti po automobiliu ar greta jo.	Automobiļa pacēlājs ļauj tehniķim strādāt ērtā pozā zem vai pie transportlīdzekļa.
Konstatne rõhukamber ja varieeruv rõhukamber on suletud.	Die Dauerdruckkammer und Wechseldruckkammer sind abgedichtet.	The constant pressure chamber and variable pressure chamber are sealed.	Pastovaus slėgio kamera ir kintamo slėgio kamera yra užsandarintos.	Pastāvīgā spiediena kamera un mainīgā spiediena kamera ir hermētiska.
"Kui klient küsib üksikasjalikku informatsiooni, saab kutsuda kontrolleri."	"Wenn der Kunde nach detaillierter Information verlangt, kann der Regler hinzugezogen werden."	The controller can be called if the customer asks for detailed information.	"Valdiklį galima iškviesti, jei klientui reikia išsamios informacijos."	"Ja klients vēlas uzzināt plašāku informāciju, var tikt izsaukts pārraugs."
Skaalaga mõõdikul võib olla mitmeid mõõtmisrakendusi.	Die Messuhr kann viele Messanwendungen haben.	The dial gauge can have many measuring applications.	Indikatoriumi galima matuoti įvairius parametrus.	Ciparnīcas indikatoru var izmantot dažādu mērījumu veikšanai.
"Veorihmalt toimub jõuülekanne mitmele sõidukiosale nagu generaator,  jahutusvedeliku pump, roolivõimendi pump jne."	"Der Antriebsriemen treibt mehrere Komponenten an, z.B. den Generator, die Kühlmittelpumpe, die Servolenkungspumpe usw."	"The drive belt drives several components such as the alternator, coolant pump, power steering pump, etc."	"Pavaros diržas varo kelis komponentus, pavyzdžiui, kintamosios srovės generatorių, aušalo siurblį, vairo stiprintuvo siurblį ir t. t."	"Piedziņas siksna darbina vairākus agregātus - ģeneratoru, dzesēšanas šķidruma sūkni, stūres pastiprinātāja sūkni u.c."
Mootoriõli filtri peab eemaldama tavalise võtmega.	Der Motorölfilter sollte mit einem normalen Schraubenschlüssel entfernt werden.	The engine oil filter should be removed with a normal wrench.	Variklio alyvos filtrą reikėtų išimto naudojantis įprastiniu veržliarakčiu.	"Dzinēja eļļas filtrs jānoņem, izmantojot parastu uzgriežņu atslēgu."
Filtrielement ummistub	Das Filterelement verstopft	The filter element becomes clogged	Filtro elementas užsikemša	Filtra elements aizsērē
